,State_County
366,Virginia_Campbell
367,Wyoming_Campbell
368,Oklahoma_Canadian
369,Georgia_Candler
370,Tennessee_Cannon
371,Idaho_Canyon
372,Missouri_Cape Girardeau
373,New Jersey_Cape May
374,Montana_Carbon
375,Pennsylvania_Carbon
376,Utah_Carbon
377,Wyoming_Carbon
378,Idaho_Caribou
379,Kentucky_Carlisle
380,Minnesota_Carlton
381,Maryland_Caroline
382,Virginia_Caroline
383,Arkansas_Carroll
384,Georgia_Carroll
385,Illinois_Carroll
386,Indiana_Carroll
387,Iowa_Carroll
388,Kentucky_Carroll
389,Maryland_Carroll
390,Mississippi_Carroll
391,Missouri_Carroll
392,New Hampshire_Carroll
393,Ohio_Carroll
394,Tennessee_Carroll
395,Virginia_Carroll
396,Texas_Carson
397,Kentucky_Carter
398,Missouri_Carter
399,Montana_Carter
400,Oklahoma_Carter
401,Tennessee_Carter
402,North Carolina_Carteret
403,Minnesota_Carver
404,Montana_Cascade
405,Kentucky_Casey
406,Illinois_Cass
407,Indiana_Cass
408,Iowa_Cass
409,Michigan_Cass
410,Minnesota_Cass
411,Missouri_Cass
412,Nebraska_Cass
413,North Dakota_Cass
414,Texas_Cass
415,Idaho_Cassia
416,Texas_Castro
417,North Carolina_Caswell
418,Louisiana_Catahoula
419,North Carolina_Catawba
420,Georgia_Catoosa
421,New Mexico_Catron
422,New York_Cattaraugus
423,North Dakota_Cavalier
424,New York_Cayuga
425,Maryland_Cecil
426,Iowa_Cedar
427,Missouri_Cedar
428,Nebraska_Cedar
429,Pennsylvania_Centre
430,Iowa_Cerro Gordo
431,Colorado_Chaffee
432,Alabama_Chambers
433,Texas_Chambers
434,Illinois_Champaign
435,Ohio_Champaign
436,Missouri_Chariton
437,Maryland_Charles
438,Virginia_Charles City
439,South Dakota_Charles Mix
440,South Carolina_Charleston
441,Michigan_Charlevoix
442,Florida_Charlotte
443,Virginia_Charlotte
444,Georgia_Charlton
445,Kansas_Chase
446,Nebraska_Chase
447,Georgia_Chatham
448,North Carolina_Chatham
449,Georgia_Chattahoochee
450,Georgia_Chattooga
451,Kansas_Chautauqua
452,New York_Chautauqua
453,New Mexico_Chaves
454,Tennessee_Cheatham
455,Michigan_Cheboygan
456,Washington_Chelan
457,New York_Chemung
458,New York_Chenango
459,Alabama_Cherokee
460,Georgia_Cherokee
461,Iowa_Cherokee
462,Kansas_Cherokee
463,North Carolina_Cherokee
464,Oklahoma_Cherokee
465,South Carolina_Cherokee
466,Texas_Cherokee
467,Nebraska_Cherry
468,New Hampshire_Cheshire
469,Pennsylvania_Chester
470,South Carolina_Chester
471,Tennessee_Chester
472,South Carolina_Chesterfield
473,Virginia_Chesterfield
474,Colorado_Cheyenne
475,Kansas_Cheyenne
476,Nebraska_Cheyenne
477,Iowa_Chickasaw
478,Mississippi_Chickasaw
479,Arkansas_Chicot
480,Texas_Childress
481,Alabama_Chilton
482,Michigan_Chippewa
483,Minnesota_Chippewa
484,Wisconsin_Chippewa
485,Minnesota_Chisago
486,Vermont_Chittenden
487,Alabama_Choctaw
488,Mississippi_Choctaw
489,Oklahoma_Choctaw
490,Montana_Chouteau
491,North Carolina_Chowan
492,Illinois_Christian
493,Kentucky_Christian
494,Missouri_Christian
495,Nevada_Churchill
496,New Mexico_Cibola
497,Oklahoma_Cimarron
498,Florida_Citrus
499,Oregon_Clackamas
500,Louisiana_Claiborne
501,Mississippi_Claiborne
502,Tennessee_Claiborne
503,Washington_Clallam
504,Michigan_Clare
505,South Carolina_Clarendon
506,Pennsylvania_Clarion
507,Arkansas_Clark
508,Idaho_Clark
509,Illinois_Clark
510,Indiana_Clark
511,Kansas_Clark
512,Kentucky_Clark
513,Missouri_Clark
514,Nevada_Clark
515,Ohio_Clark
516,South Dakota_Clark
517,Washington_Clark
518,Wisconsin_Clark
519,Alabama_Clarke
520,Georgia_Clarke
521,Iowa_Clarke
522,Mississippi_Clarke
523,Virginia_Clarke
524,Oregon_Clatsop
525,Alabama_Clay
526,Arkansas_Clay
527,Florida_Clay
528,Georgia_Clay
529,Illinois_Clay
530,Indiana_Clay
531,Iowa_Clay
532,Kansas_Clay
533,Kentucky_Clay
534,Minnesota_Clay
535,Mississippi_Clay
536,Missouri_Clay
537,Nebraska_Clay
538,North Carolina_Clay
539,South Dakota_Clay
540,Tennessee_Clay
541,Texas_Clay
542,West Virginia_Clay
543,Georgia_Clayton
544,Iowa_Clayton
545,Colorado_Clear Creek
546,Pennsylvania_Clearfield
547,Idaho_Clearwater
548,Minnesota_Clearwater
549,Alabama_Cleburne
550,Arkansas_Cleburne
551,Ohio_Clermont
552,Arkansas_Cleveland
553,North Carolina_Cleveland
554,Oklahoma_Cleveland
555,Georgia_Clinch
556,Illinois_Clinton
557,Indiana_Clinton
558,Iowa_Clinton
559,Kentucky_Clinton
560,Michigan_Clinton
561,Missouri_Clinton
562,New York_Clinton
563,Ohio_Clinton
564,Pennsylvania_Clinton
565,Kansas_Cloud
566,Mississippi_Coahoma
567,Oklahoma_Coal
568,Georgia_Cobb
569,Arizona_Cochise
570,Texas_Cochran
571,Tennessee_Cocke
572,Arizona_Coconino
573,South Dakota_Codington
574,Alabama_Coffee
575,Georgia_Coffee
576,Tennessee_Coffee
577,Kansas_Coffey
578,Texas_Coke
579,Alabama_Colbert
580,Missouri_Cole
581,Texas_Coleman
582,Illinois_Coles
583,Nebraska_Colfax
584,New Mexico_Colfax
585,South Carolina_Colleton
586,Florida_Collier
587,Texas_Collin
588,Texas_Collingsworth
589,Texas_Colorado
590,Georgia_Colquitt
591,Arkansas_Columbia
592,Florida_Columbia
593,Georgia_Columbia
594,New York_Columbia
595,Oregon_Columbia
596,Pennsylvania_Columbia
597,Washington_Columbia
598,Wisconsin_Columbia
599,Ohio_Columbiana
600,North Carolina_Columbus
601,California_Colusa
602,Texas_Comal
603,Kansas_Comanche
604,Oklahoma_Comanche
605,Texas_Comanche
606,Texas_Concho
607,Louisiana_Concordia
608,Alabama_Conecuh
609,Colorado_Conejos
610,California_Contra Costa
611,Wyoming_Converse
612,Arkansas_Conway
613,Georgia_Cook
614,Illinois_Cook
615,Minnesota_Cook
616,Texas_Cooke
617,Missouri_Cooper
618,New Hampshire_Coos
619,Oregon_Coos
620,Alabama_Coosa
621,Mississippi_Copiah
622,South Dakota_Corson
623,New York_Cortland
624,Texas_Coryell
625,Ohio_Coshocton
626,Colorado_Costilla
627,Texas_Cottle
628,Oklahoma_Cotton
629,Minnesota_Cottonwood
630,Alabama_Covington
631,Mississippi_Covington
632,Georgia_Coweta
633,Kansas_Cowley
634,Washington_Cowlitz
635,Oklahoma_Craig
636,Virginia_Craig
637,Arkansas_Craighead
638,Texas_Crane
639,North Carolina_Craven
640,Arkansas_Crawford
641,Georgia_Crawford
642,Illinois_Crawford
643,Indiana_Crawford
644,Iowa_Crawford
645,Kansas_Crawford
646,Michigan_Crawford
647,Missouri_Crawford
648,Ohio_Crawford
649,Pennsylvania_Crawford
650,Wisconsin_Crawford
651,Oklahoma_Creek
652,Alabama_Crenshaw
653,Georgia_Crisp
654,Arkansas_Crittenden
655,Kentucky_Crittenden
656,Tennessee_Crockett
657,Texas_Crockett
658,Oregon_Crook
659,Wyoming_Crook
660,Texas_Crosby
661,Arkansas_Cross
662,Minnesota_Crow Wing
663,Colorado_Crowley
664,Texas_Culberson
665,Alabama_Cullman
666,Virginia_Culpeper
667,Illinois_Cumberland
668,Kentucky_Cumberland
669,Maine_Cumberland
670,New Jersey_Cumberland
671,North Carolina_Cumberland
672,Pennsylvania_Cumberland
673,Tennessee_Cumberland
674,Virginia_Cumberland
675,Nebraska_Cuming
676,North Carolina_Currituck
677,New Mexico_Curry
678,Oregon_Curry
679,Colorado_Custer
680,Idaho_Custer
681,Montana_Custer
682,Nebraska_Custer
683,Oklahoma_Custer
684,South Dakota_Custer
685,Ohio_Cuyahoga
686,Georgia_Dade
687,Missouri_Dade
688,Utah_Daggett
689,Minnesota_Dakota
690,Nebraska_Dakota
691,Alabama_Dale
692,Texas_Dallam
693,Alabama_Dallas
694,Arkansas_Dallas
695,Iowa_Dallas
696,Missouri_Dallas
697,Texas_Dallas
698,Wisconsin_Dane
699,Montana_Daniels
700,North Carolina_Dare
701,Ohio_Darke
702,South Carolina_Darlington
703,Pennsylvania_Dauphin
704,North Carolina_Davidson
705,Tennessee_Davidson
706,North Carolina_Davie
707,Indiana_Daviess
708,Kentucky_Daviess
709,Missouri_Daviess
710,Iowa_Davis
711,Utah_Davis
712,South Dakota_Davison
713,Nebraska_Dawes
714,Georgia_Dawson
715,Montana_Dawson
716,Nebraska_Dawson
717,Texas_Dawson
718,South Dakota_Day
719,Louisiana_De Soto
720,Illinois_De Witt
721,Alabama_DeKalb
722,Georgia_DeKalb
723,Illinois_DeKalb
724,Indiana_DeKalb
725,Missouri_DeKalb
726,Tennessee_DeKalb
727,Florida_DeSoto
728,Mississippi_DeSoto
729,Texas_DeWitt
730,Texas_Deaf Smith
731,Indiana_Dearborn
732,Georgia_Decatur
733,Indiana_Decatur
734,Iowa_Decatur
735,Kansas_Decatur
736,Tennessee_Decatur
737,Montana_Deer Lodge
738,Ohio_Defiance
739,California_Del Norte
740,Indiana_Delaware
741,Iowa_Delaware
742,New York_Delaware
743,Ohio_Delaware
744,Oklahoma_Delaware
745,Pennsylvania_Delaware
746,Colorado_Delta
747,Michigan_Delta
748,Texas_Delta
749,Alaska_Denali
750,Missouri_Dent
751,Texas_Denton
752,Colorado_Denver
753,Iowa_Des Moines
754,Oregon_Deschutes
755,Arkansas_Desha
756,Nebraska_Deuel
757,South Dakota_Deuel
758,Oklahoma_Dewey
759,South Dakota_Dewey
760,Texas_Dickens
761,Virginia_Dickenson
762,North Dakota_Dickey
763,Iowa_Dickinson
764,Kansas_Dickinson
765,Michigan_Dickinson
766,Tennessee_Dickson
767,South Carolina_Dillon
768,Texas_Dimmit
769,Virginia_Dinwiddie
770,North Dakota_Divide
771,Florida_Dixie
772,Nebraska_Dixon
773,West Virginia_Doddridge
774,Georgia_Dodge
775,Minnesota_Dodge
776,Nebraska_Dodge
777,Wisconsin_Dodge
778,Colorado_Dolores
779,Kansas_Doniphan
780,Texas_Donley
781,Georgia_Dooly
782,Wisconsin_Door
783,Maryland_Dorchester
784,South Carolina_Dorchester
785,Georgia_Dougherty
786,Colorado_Douglas
787,Georgia_Douglas
788,Illinois_Douglas
789,Kansas_Douglas
790,Minnesota_Douglas
791,Missouri_Douglas
792,Nebraska_Douglas
793,Nevada_Douglas
794,Oregon_Douglas
795,South Dakota_Douglas
796,Washington_Douglas
797,Wisconsin_Douglas
798,Arkansas_Drew
799,Illinois_DuPage
800,Indiana_Dubois
801,Iowa_Dubuque
802,Utah_Duchesne
803,Massachusetts_Dukes
804,Nebraska_Dundy
805,Missouri_Dunklin
806,North Dakota_Dunn
807,Wisconsin_Dunn
808,North Carolina_Duplin
809,North Carolina_Durham
810,New York_Dutchess
811,Florida_Duval
812,Texas_Duval
813,Tennessee_Dyer
814,Colorado_Eagle
815,Georgia_Early
816,Louisiana_East Carroll
817,Louisiana_East Feliciana
818,Texas_Eastland
819,Michigan_Eaton
820,Wisconsin_Eau Claire
821,Georgia_Echols
822,Texas_Ector
823,New Mexico_Eddy
824,North Dakota_Eddy
825,Illinois_Edgar
826,North Carolina_Edgecombe
827,South Carolina_Edgefield
828,Kentucky_Edmonson
829,South Dakota_Edmunds
830,Illinois_Edwards
831,Kansas_Edwards
832,Texas_Edwards
833,Georgia_Effingham
834,Illinois_Effingham
835,California_El Dorado
836,Colorado_El Paso
837,Texas_El Paso
838,Colorado_Elbert
839,Georgia_Elbert
840,Kansas_Elk
841,Pennsylvania_Elk
842,Indiana_Elkhart
843,Nevada_Elko
844,Kentucky_Elliott
845,Kansas_Ellis
846,Oklahoma_Ellis
847,Texas_Ellis
848,Kansas_Ellsworth
849,Alabama_Elmore
850,Idaho_Elmore
851,Georgia_Emanuel
852,Utah_Emery
853,Iowa_Emmet
854,Michigan_Emmet
855,North Dakota_Emmons
856,Texas_Erath
857,New York_Erie
858,Ohio_Erie
859,Pennsylvania_Erie
860,Alabama_Escambia
861,Florida_Escambia
862,Nevada_Esmeralda
863,Massachusetts_Essex
864,New Jersey_Essex
865,New York_Essex
866,Vermont_Essex
867,Virginia_Essex
868,Kentucky_Estill
869,Alabama_Etowah
870,Nevada_Eureka
871,Louisiana_Evangeline
872,Georgia_Evans
873,Alaska_Fairbanks North Star
874,Virginia_Fairfax
875,Ohio_Fairfield
876,South Carolina_Fairfield
877,South Dakota_Fall River
878,Montana_Fallon
879,Texas_Falls
880,Georgia_Fannin
881,Texas_Fannin
882,Minnesota_Faribault
883,South Dakota_Faulk
884,Arkansas_Faulkner
885,Virginia_Fauquier
886,Alabama_Fayette
887,Georgia_Fayette
888,Illinois_Fayette
889,Indiana_Fayette
890,Iowa_Fayette
891,Kentucky_Fayette
892,Ohio_Fayette
893,Pennsylvania_Fayette
894,Tennessee_Fayette
895,Texas_Fayette
896,West Virginia_Fayette
897,Tennessee_Fentress
898,Montana_Fergus
899,Washington_Ferry
900,Minnesota_Fillmore
901,Nebraska_Fillmore
902,Kansas_Finney
903,Texas_Fisher
904,Florida_Flagler
905,Montana_Flathead
906,Kentucky_Fleming
907,South Carolina_Florence
908,Wisconsin_Florence
909,Georgia_Floyd
910,Indiana_Floyd
911,Iowa_Floyd
912,Kentucky_Floyd
913,Texas_Floyd
914,Virginia_Floyd
