Year,seed,sobol,scenario,recycling,trash,wishcycling
2,0,FALSE,Montana,0.161651535,0.79274211,0.045606355
2,0,FALSE,Nebraska,0.170466903,0.787943262,0.041589835
2,0,FALSE,Nevada,0.191955923,0.760642792,0.047401286
2,0,FALSE,New Hampshire,0.353259005,0.575080999,0.071659996
2,0,FALSE,New Jersey,0.252014829,0.689721685,0.058263486
2,0,FALSE,New Mexico,0.145912334,0.817665647,0.036422018
2,0,FALSE,New York,0.602506353,0.29005544,0.107438207
2,0,FALSE,North Carolina,0.127402863,0.836950409,0.035646728
2,0,FALSE,North Dakota,0.195872875,0.745403321,0.058723804
2,0,FALSE,Ohio,0.144639757,0.819270833,0.03608941
2,0,FALSE,Oklahoma,0.109264771,0.859474206,0.031261023
2,0,FALSE,Oregon,0.718008437,0.112304793,0.169686771
2,0,FALSE,Pennsylvania,0.193256997,0.755454835,0.051288168
2,0,FALSE,Rhode Island,0.42246732,0.501982571,0.075550109
2,0,FALSE,South Carolina,0.074126485,0.90172956,0.024143955
2,0,FALSE,South Dakota,0.210192147,0.739854845,0.049953008
2,0,FALSE,Tennessee,0.084297052,0.893707483,0.021995465
2,0,FALSE,Texas,0.158816425,0.795097513,0.046086062
2,0,FALSE,Utah,0.195024734,0.742380137,0.062595129
2,0,FALSE,Vermont,0.575773139,0.308979457,0.115247404
2,0,FALSE,Virginia,0.138828401,0.825679323,0.035492276
2,0,FALSE,Washington,0.291071429,0.644084533,0.064844038
2,0,FALSE,West Virginia,0.152902689,0.808351178,0.038746134
2,0,FALSE,Wisconsin,0.265550314,0.672604822,0.061844864
2,0,FALSE,Wyoming,0.151486698,0.792370892,0.05614241
3,0,FALSE,Alabama,0.095136364,0.868580808,0.036282828
3,0,FALSE,Alaska,0.063234954,0.914201389,0.022563657
3,0,FALSE,Arizona,0.199030904,0.747231154,0.053737942
3,0,FALSE,Arkansas,0.093269231,0.874781237,0.031949532
3,0,FALSE,California,0.606607003,0.252053991,0.141339006
3,0,FALSE,Colorado,0.113459801,0.845081301,0.041458898
3,0,FALSE,Connecticut,0.526282847,0.347108421,0.126608732
3,0,FALSE,Delaware,0.135846354,0.82671441,0.037439236
3,0,FALSE,Florida,0.112922352,0.846767381,0.040310266
3,0,FALSE,Georgia,0.123554587,0.838335756,0.038109658
3,0,FALSE,Hawaii,0.500674827,0.389380624,0.109944549
3,0,FALSE,Idaho,0.151832241,0.805618591,0.042549168
3,0,FALSE,Illinois,0.153711023,0.808915239,0.037373737
3,0,FALSE,Indiana,0.202175926,0.745303498,0.052520576
3,0,FALSE,Iowa,0.351217421,0.562117055,0.086665524
3,0,FALSE,Kansas,0.218026978,0.730429813,0.05154321
3,0,FALSE,Kentucky,0.115527466,0.849849147,0.034623387
3,0,FALSE,Louisiana,0.087171916,0.885411199,0.027416885
3,0,FALSE,Maine,0.794455108,0.056883131,0.148661762
3,0,FALSE,Maryland,0.361081768,0.564187207,0.074731025
3,0,FALSE,Massachusetts,0.416698054,0.491902072,0.091399874
3,0,FALSE,Michigan,0.626867125,0.233739977,0.139392898
3,0,FALSE,Minnesota,0.275787728,0.658794569,0.065417703
3,0,FALSE,Mississippi,0.097356285,0.867202917,0.035440798
3,0,FALSE,Missouri,0.123113981,0.833225707,0.043660312
3,0,FALSE,Montana,0.155317769,0.801205145,0.043477086
3,0,FALSE,Nebraska,0.168806147,0.79249409,0.038699764
3,0,FALSE,Nevada,0.188856749,0.762359963,0.048783287
3,0,FALSE,New Hampshire,0.345769011,0.58587288,0.068358109
3,0,FALSE,New Jersey,0.241913819,0.700483559,0.057602622
3,0,FALSE,New Mexico,0.146258919,0.816743119,0.036997961
3,0,FALSE,New York,0.601871102,0.291042966,0.107085932
3,0,FALSE,North Carolina,0.123807089,0.840904056,0.035288855
3,0,FALSE,North Dakota,0.189546263,0.752061091,0.058392645
3,0,FALSE,Ohio,0.141948785,0.821365017,0.036686198
3,0,FALSE,Oklahoma,0.105274471,0.862632275,0.032093254
