product,process,conjoined_flownames,location
"Gypsum wallboard product, type X, 0.625 inch (15.875 mm)","Gypsum wallboard product, type X, 0.625 inch (15.875 mm)@Gypsum wallboard product, type X, 0.625 inch (15.875 mm)","Gypsum wallboard product, type X, 0.625 inch (15.875 mm)@Gypsum wallboard product, type X, 0.625 inch (15.875 mm)@Northern America",Northern America
"Hardboard, at hardboard plant","Hardboard, at hardboard plant@Hardboard, at hardboard plant","Hardboard, at hardboard plant@Hardboard, at hardboard plant@Northern America",Northern America
"Harvest, corn, single pass","Harvest, corn, single pass@Northern America","Harvest, corn, single pass@Harvest, corn, single pass@Northern America",Northern America
"Harvest, switchgrass","Harvest, switchgrass@Northern America","Harvest, switchgrass@Harvest, switchgrass@Northern America",Northern America
"Harvest, wheat, single pass","Harvest, wheat, single pass@Northern America","Harvest, wheat, single pass@Harvest, wheat, single pass@Northern America",Northern America
"Harvesting, fresh fruit bunch, at farm, 2003","Harvesting, fresh fruit bunch, at farm, 2003@Northern America","Harvesting, fresh fruit bunch, at farm@Harvesting, fresh fruit bunch, at farm, 2003@Northern America",Northern America
Hazardous waste (deposited),"Hazardous waste (deposited)@Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid","Hazardous waste (deposited)@Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid@Northern America",Northern America
"Hazardous waste, DK","Hazardous waste, DK@Natural soda ash (Sodium carbonate), at plant","Hazardous waste, DK@Natural soda ash (Sodium carbonate), at plant@United States",United States
"Heat, indirect, heated zones, softwood, plywood veneer drying, AP-42","Heat, indirect, heated zones, softwood, plywood veneer drying, AP-42@Northern America","Heat, indirect, heated zones, softwood, plywood veneer drying, AP-42@Heat, indirect, heated zones, softwood, plywood veneer drying, AP-42@Northern America",Northern America
Heat; block conditioning; at veneer mill,"Heat; block conditioning; at veneer mill@Heat, drying veneer, hardwood, at veneer mill, E","Heat; block conditioning; at veneer mill@Heat, drying veneer, hardwood, at veneer mill, E@United States",United States
Heat; drying stain; at engineered wood flooring mill,"Heat; drying stain; at engineered wood flooring mill@Heat, drying veneer, hardwood, at veneer mill, E","Heat; drying stain; at engineered wood flooring mill@Heat, drying veneer, hardwood, at veneer mill, E@United States",United States
Heat; drying veneer; hardwood; at veneer mill,"Heat; drying veneer; hardwood; at veneer mill@Heat, drying veneer, hardwood, at veneer mill, E","Heat; drying veneer; hardwood; at veneer mill@Heat, drying veneer, hardwood, at veneer mill, E@United States",United States
Heat; onsite boiler; hardwood mill; average,"Heat; onsite boiler; hardwood mill; average@Heat, onsite boiler, hardwood mill average, NE-NC","Heat; onsite boiler; hardwood mill; average@Heat, onsite boiler, hardwood mill average, NE-NC@United States",United States
Heat; onsite boiler; softwood mill; average,"Heat; onsite boiler; softwood mill; average@Heat, onsite boiler, softwood mill, average, NE-NC","Heat; onsite boiler; softwood mill; average@Heat, onsite boiler, softwood mill, average, NE-NC@United States",United States
Heat; pressing panels; hardwood; at engineered wood flooring plant,"Heat; pressing panels; hardwood; at engineered wood flooring plant@Heat, drying veneer, hardwood, at veneer mill, E","Heat; pressing panels; hardwood; at engineered wood flooring plant@Heat, drying veneer, hardwood, at veneer mill, E@United States",United States
