product,process,conjoined_flownames,location
"Propylene oxide, at plant","Propylene oxide, at plant@Northern America","Propylene oxide, at plant@Propylene oxide, at plant@Northern America",Northern America
"Propylene, at plant","Propylene, at plant@Propylene, at plant","Propylene, at plant@Propylene, at plant@Northern America",Northern America
"Pulp, kraft market, bleached, average production, at mill","Pulp, kraft market, bleached, average production, at mill@Pulp, kraft market, bleached, average production, at mill","Pulp, kraft market, bleached, average production, at mill@Pulp, kraft market, bleached, average production, at mill@Northern America",Northern America
"Pulpwood, hardwood, average, at forest road, NE-NC","Pulpwood, hardwood, average, at forest road, NE-NC@United States","Pulpwood; hardwood; average; at forest road@Pulpwood, hardwood, average, at forest road, NE-NC@United States",United States
"Pulpwood, softwd, avg, state or private moist forest, at forest rd, INW","Pulpwood, softwd, avg, state or private moist forest, at forest rd, INW@United States","Pulpwood; softwd; avg; state or private moist forest; at forest rd@Pulpwood, softwd, avg, state or private moist forest, at forest rd, INW@United States",United States
"Pulpwood, softwood, average, at forest road, INW","Pulpwood, softwood, average, at forest road, INW@United States","Pulpwood; softwood; average; at forest road@Pulpwood, softwood, average, at forest road, INW@United States",United States
"Pulpwood, softwood, average, at forest road, NE-NC","Pulpwood, softwood, average, at forest road, NE-NC@Northern America","Pulpwood, softwood, average, at forest road@Pulpwood, softwood, average, at forest road, NE-NC@Northern America",Northern America
"Pulpwood, softwood, average, state or private dry forest, at forest road, INW","Pulpwood, softwood, average, state or private dry forest, at forest road, INW@United States","Pulpwood; softwood; average; state or private dry forest; at forest road@Pulpwood, softwood, average, state or private dry forest, at forest road, INW@United States",United States
"Pulpwood, softwood, national forest, average, at forest road, INW","Pulpwood, softwood, national forest, average, at forest road, INW@United States","Pulpwood; softwood; national forest; average; at forest road@Pulpwood, softwood, national forest, average, at forest road, INW@United States",United States
"Purified terephthalic acid, PTA, at plant, kg","Purified terephthalic acid, PTA, at plant, kg@Purified terephthalic acid, PTA, at plant, kg","Purified terephthalic acid, PTA, at plant, kg@Purified terephthalic acid, PTA, at plant, kg@Northern America",Northern America
"Pyrolysis gasoline, at plant","Pyrolysis gasoline, at plant@Northern America","Pyrolysis gasoline, at plant@Pyrolysis gasoline, at plant@Northern America",Northern America
"Quicklime, at plant","Quicklime, at plant@Northern America","Quicklime, at plant@Quicklime, at plant@Northern America",Northern America
"RFO, combusted in industrial boiler, at pulp and paper mill (EXCL.)","RFO, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America","RFO, combusted in industrial boiler, at pulp and paper mill (EXCL.)@RFO, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America",Northern America
Radioactive tailings,"Radioactive tailings@Aluminum, cold rolling, at plant","Radioactive tailings@Aluminum, cold rolling, at plant@Northern America",Northern America
"Railroad tie, hardwood, rough, green, at sawmill, SE","Railroad tie, hardwood, rough, green, at sawmill, SE@United States","Railroad tie; hardwood; rough; green; at sawmill@Railroad tie, hardwood, rough, green, at sawmill, SE@United States",United States
"Railroad ties, hardwood, creosote treated, SE","Railroad ties, hardwood, creosote treated, SE@United States","Railroad ties; hardwood; creosote treated@Railroad ties, hardwood, creosote treated, SE@United States",United States
"Rapeseed residues, at field","Rapeseed residues, at field@Rapeseed, whole plant, at field","Rapeseed residues, at field@Rapeseed, whole plant, at field@United States",United States
"Rapeseed, at field","Rapeseed, at field@Rapeseed, whole plant, at field","Rapeseed, at field@Rapeseed, whole plant, at field@United States",United States
"Recovered energy, at acetic acid production","Recovered energy, at acetic acid production@Acetic acid, at plant","Recovered energy, at acetic acid production@Acetic acid, at plant@Northern America",Northern America
"Recovered energy, for Acrylonitrile-butadiene-styrene copolymer","Recovered energy, for Acrylonitrile-butadiene-styrene copolymer@Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant","Recovered energy, for Acrylonitrile-butadiene-styrene copolymer@Acrylonitrile-butadiene-styrene, ABS, copolymer resin, at plant@Northern America",Northern America
"Recovered energy, for Methylene diphenyl diisocyanate","Recovered energy, for Methylene diphenyl diisocyanate@Methylene diphenyl diisocyanate, MDI, at plant","Recovered energy, for Methylene diphenyl diisocyanate@Methylene diphenyl diisocyanate, MDI, at plant@Northern America",Northern America
"Recovered energy, for Polyethylene terephthalate (PET) virgin resin","Recovered energy, for Polyethylene terephthalate (PET) virgin resin@Polyethylene terephthalate, PET, virgin resin, at plant, kg","Recovered energy, for Polyethylene terephthalate (PET) virgin resin@Polyethylene terephthalate, PET, virgin resin, at plant, kg@Northern America",Northern America
"Recovered energy, for Polyethylene, high density, resin, at plant","Recovered energy, for Polyethylene, high density, resin, at plant@Polyethylene, high density, HDPE, resin, at plant","Recovered energy, for Polyethylene, high density, resin, at plant@Polyethylene, high density, HDPE, resin, at plant@Northern America",Northern America
"Recovered energy, for Polyethylene, linear low density, resin, at plant","Recovered energy, for Polyethylene, linear low density, resin, at plant@Polyethylene, linear low density, LLDPE, resin, at plant","Recovered energy, for Polyethylene, linear low density, resin, at plant@Polyethylene, linear low density, LLDPE, resin, at plant@Northern America",Northern America
"Recovered energy, for Polyol ether, for rigid foam polyurethane production, at plant","Recovered energy, for Polyol ether, for rigid foam polyurethane production, at plant@Polyol ether, for rigid foam polyurethane production, at plant","Recovered energy, for Polyol ether, for rigid foam polyurethane production, at plant@Polyol ether, for rigid foam polyurethane production, at plant@Northern America",Northern America
"Recovered energy, for Polypropylene, resin, at plant","Recovered energy, for Polypropylene, resin, at plant@Polypropylene, PP, resin, at plant","Recovered energy, for Polypropylene, resin, at plant@Polypropylene, PP, resin, at plant@Northern America",Northern America
"Recovered energy, for Polystyrene, general purpose, at plant","Recovered energy, for Polystyrene, general purpose, at plant@Polystyrene, general purpose, GPPS, at plant","Recovered energy, for Polystyrene, general purpose, at plant@Polystyrene, general purpose, GPPS, at plant@Northern America",Northern America
"Recovered energy, for Polystyrene, high impact, resin, at plant","Recovered energy, for Polystyrene, high impact, resin, at plant@Polystyrene, high impact, HIPS, resin, at plant","Recovered energy, for Polystyrene, high impact, resin, at plant@Polystyrene, high impact, HIPS, resin, at plant@Northern America",Northern America
"Recovered energy, for Toluene diisocyanate","Recovered energy, for Toluene diisocyanate@Toluene diisocyanate, TDI, at plant","Recovered energy, for Toluene diisocyanate@Toluene diisocyanate, TDI, at plant@Northern America",Northern America
"Recovered energy, for acrylonitrile","Recovered energy, for acrylonitrile@Acrylonitrile, at plant","Recovered energy, for acrylonitrile@Acrylonitrile, at plant@Northern America",Northern America
"Recovered energy, for polyvinyl chloride","Recovered energy, for polyvinyl chloride@Polyvinyl chloride, PVC, resin, at plant","Recovered energy, for polyvinyl chloride@Polyvinyl chloride, PVC, resin, at plant@Northern America",Northern America
Recovered energy,"Recovered energy@Aniline, at plant","Recovered energy@Aniline, at plant@Northern America",Northern America
Recycled postconsumer HDPE pellet,Recycled postconsumer HDPE pellet@Northern America,Recycled postconsumer HDPE pellet@Recycled postconsumer HDPE pellet@Northern America,Northern America
Recycled postconsumer PET flake,Recycled postconsumer PET flake@Northern America,Recycled postconsumer PET flake@Recycled postconsumer PET flake@Northern America,Northern America
Recycled postconsumer PET pellet,Recycled postconsumer PET pellet@Northern America,Recycled postconsumer PET pellet@Recycled postconsumer PET pellet@Northern America,Northern America
"Recycling, hazardous waste, to recovery","Recycling, hazardous waste, to recovery@Methanol, at plant, kg","Recycling, hazardous waste, to recovery@Methanol, at plant, kg@Northern America",Northern America
"Recycling, solid waste, to recycling or reuse","Recycling, solid waste, to recycling or reuse@Ethylene, materials production, organic compound, at plant, kg","Recycling, solid waste, to recycling or reuse@Ethylene, materials production, organic compound, at plant, kg@United States",United States
"Refinery gas, at refinery","Refinery gas, at refinery@Petroleum refining, at refinery","Refinery gas, at refinery@Petroleum refining, at refinery@Northern America",Northern America
Renewable fuels,"Renewable fuels@Zinc, sheet","Renewable fuels@Zinc, sheet@Global",Global
"Residual fuel oil, at refinery","Residual fuel oil, at refinery@Petroleum refining, at refinery","Residual fuel oil, at refinery@Petroleum refining, at refinery@Northern America",Northern America
"Residual fuel oil, combusted in industrial boiler","Residual fuel oil, combusted in industrial boiler@Northern America","Residual fuel oil, combusted in industrial boiler@Residual fuel oil, combusted in industrial boiler@Northern America",Northern America
"Rice grain, at field","Rice grain, at field@Rice, at field","Rice grain, at field@Rice, at field@Northern America",Northern America
"Rice straw, at field","Rice straw, at field@Rice, at field","Rice straw, at field@Rice, at field@Northern America",Northern America
Roundwood; hardwood; green; at logyard,"Roundwood; hardwood; green; at logyard@Roundwood, hardwood, green, at logyard, NE-NC","Roundwood; hardwood; green; at logyard@Roundwood, hardwood, green, at logyard, NE-NC@United States",United States
Roundwood; hardwood; green; at mill,"Roundwood; hardwood; green; at mill@Roundwood, hardwood, green, at mill, E","Roundwood; hardwood; green; at mill@Roundwood, hardwood, green, at mill, E@United States",United States
"Sander dust, wood fuel, at hardboard plant","Sander dust, wood fuel, at hardboard plant@Hardboard, at hardboard plant","Sander dust, wood fuel, at hardboard plant@Hardboard, at hardboard plant@Northern America",Northern America
Sawdust; hardwood; dry; at engineered wood flooring plant,"Sawdust; hardwood; dry; at engineered wood flooring plant@Engineered flooring, hardwood, unfinished, E","Sawdust; hardwood; dry; at engineered wood flooring plant@Engineered flooring, hardwood, unfinished, E@United States",United States
Sawdust; hardwood; green; at sawmill,"Sawdust; hardwood; green; at sawmill@Sawn lumber, hardwood, rough, green, at sawmill, NE-NC","Sawdust; hardwood; green; at sawmill@Sawn lumber, hardwood, rough, green, at sawmill, NE-NC@United States",United States
Sawdust; hardwood; kiln-dried; at planer mill,"Sawdust; hardwood; kiln-dried; at planer mill@Sawn lumber, hardwood, planed, kiln dried, at planer mill, SE","Sawdust; hardwood; kiln-dried; at planer mill@Sawn lumber, hardwood, planed, kiln dried, at planer mill, SE@United States",United States
"Sawn lumber, hardwood, rough, kiln dried, at kiln, NE-NC","Sawn lumber, hardwood, rough, kiln dried, at kiln, NE-NC@United States","Sawn lumber; hardwood; rough; kiln dried; at kiln@Sawn lumber, hardwood, rough, kiln dried, at kiln, NE-NC@United States",United States
"Sawn lumber, hardwood, rough, kiln dried, at kiln, SE","Sawn lumber, hardwood, rough, kiln dried, at kiln, SE@United States","Sawn lumber; hardwood; rough; kiln dried; at kiln@Sawn lumber, hardwood, rough, kiln dried, at kiln, SE@United States",United States
Sawn lumber; hardwood; planed; kiln dried; at planer mill,"Sawn lumber; hardwood; planed; kiln dried; at planer mill@Sawn lumber, hardwood, planed, kiln dried, at planer mill, SE","Sawn lumber; hardwood; planed; kiln dried; at planer mill@Sawn lumber, hardwood, planed, kiln dried, at planer mill, SE@United States",United States
Sawn lumber; hardwood; rough; green; at sawmill,"Sawn lumber; hardwood; rough; green; at sawmill@Sawn lumber, hardwood, rough, green, at sawmill, NE-NC","Sawn lumber; hardwood; rough; green; at sawmill@Sawn lumber, hardwood, rough, green, at sawmill, NE-NC@United States",United States
Sawn lumber; softwood; planed; kiln dried; at planer,"Sawn lumber; softwood; planed; kiln dried; at planer@Sawn lumber, softwood, planed, kiln dried, at planer, NE-NC","Sawn lumber; softwood; planed; kiln dried; at planer@Sawn lumber, softwood, planed, kiln dried, at planer, NE-NC@United States",United States
"Scanner, department, i3200, i3400","Scanner, department, i3200, i3400@Global","Scanner, department, i3200, i3400@Scanner, department, i3200, i3400@Global",Global
"Scanner, department, i4200, i4600","Scanner, department, i4200, i4600@Global","Scanner, department, i4200, i4600@Scanner, department, i4200, i4600@Global",Global
"Scanner, department, i5200, i5600","Scanner, department, i5200, i5600@Global","Scanner, department, i5200, i5600@Scanner, department, i5200, i5600@Global",Global
"Scanner, department, i5200v, i5600v","Scanner, department, i5200v, i5600v@Global","Scanner, department, i5200v, i5600v@Scanner, department, i5200v, i5600v@Global",Global
"Scanner, department, i5800","Scanner, department, i5800@Global","Scanner, department, i5800@Scanner, department, i5800@Global",Global
"Scanner, desktop, E1025, E1035, S2040, S2050, S2060w, S2070, S2080w","Scanner, desktop, E1025, E1035, S2040, S2050, S2060w, S2070, S2080w@China","Scanner, desktop,  E1025, E1035, S2040, S2050, S2060w, S2070, S2080w@Scanner, desktop, E1025, E1035, S2040, S2050, S2060w, S2070, S2080w@China",China
"Scanner, desktop, i2900","Scanner, desktop, i2900@Global","Scanner, desktop, i2900@Scanner, desktop, i2900@Global",Global
"Scanner, i1150 desktop and i1190 desktop","Scanner, i1150 desktop and i1190 desktop@Global","Scanner, i1150 desktop and i1190 desktop@Scanner, i1150 desktop and i1190 desktop@Global",Global
"Scanner, i710 desktop and i730EX desktop","Scanner, i710 desktop and i730EX desktop@Global","Scanner, i710 desktop and i730EX desktop@Scanner, i710 desktop and i730EX desktop@Global",Global
"Scanner, i940 desktop","Scanner, i940 desktop@Global","Scanner, i940 desktop@Scanner, i940 desktop@Global",Global
"Scanner, packaging and information sheets","Scanner, packaging and information sheets@Global","Scanner, packaging and information sheets@Scanner, packaging and information sheets@Global",Global
"Secondary bonding application, rigid composites part, at plant","Secondary bonding application, rigid composites part, at plant@United States","Secondary bonding application, rigid composites part, at plant@Secondary bonding application, rigid composites part, at plant@United States",United States
Secondary fuel,"Secondary fuel@Steel, stainless 304, flat rolled coil","Secondary fuel@Steel, stainless 304, flat rolled coil@Northern America",Northern America
Shavings; hardwood; dry; at engineered wood flooring plant,"Shavings; hardwood; dry; at engineered wood flooring plant@Engineered flooring, hardwood, unfinished, E","Shavings; hardwood; dry; at engineered wood flooring plant@Engineered flooring, hardwood, unfinished, E@United States",United States
Shavings; hardwood; kiln-dried; at planer mill,"Shavings; hardwood; kiln-dried; at planer mill@Sawn lumber, hardwood, planed, kiln dried, at planer mill, SE","Shavings; hardwood; kiln-dried; at planer mill@Sawn lumber, hardwood, planed, kiln dried, at planer mill, SE@United States",United States
Shavings; softwood; kiln dried; at planer,"Shavings; softwood; kiln dried; at planer@Sawn lumber, softwood, planed, kiln dried, at planer, NE-NC","Shavings; softwood; kiln dried; at planer@Sawn lumber, softwood, planed, kiln dried, at planer, NE-NC@United States",United States
"Single-ply, white, polyester reinforced PVC roofing membrane, 48 mils (1.219 mm)","Single-ply, white, polyester reinforced PVC roofing membrane, 48 mils (1.219 mm)@Single-ply, white, polyester reinforced PVC roofing membrane, 48 mils (1.219 mm)","Single-ply, white, polyester reinforced PVC roofing membrane, 48 mils (1.219 mm)@Single-ply, white, polyester reinforced PVC roofing membrane, 48 mils (1.219 mm)@Northern America",Northern America
"Skidding, aerial cable yarder, medium","Skidding, aerial cable yarder, medium@United States","Skidding; aerial cable yarder; medium@Skidding, aerial cable yarder, medium@United States",United States
"Skidding, wheeled cable skidder, 120-160 HP","Skidding, wheeled cable skidder, 120-160 HP@Northern America","Skidding, wheeled cable skidder, 120-160 HP@Skidding, wheeled cable skidder, 120-160 HP@Northern America",Northern America
"Slack wax, at plant, US SE","Slack wax, at plant, US SE@United States","Slack wax; at plant@Slack wax, at plant, US SE@United States",United States
Slag (deposited),"Slag (deposited)@Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid","Slag (deposited)@Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid@Northern America",Northern America
"Soap stock, at plant","Soap stock, at plant@Soy oil, refined, at plant","Soap stock, at plant@Soy oil, refined, at plant@Northern America",Northern America
"Soda powder, at plant","Soda powder, at plant@Northern America","Soda powder, at plant@Soda powder, at plant@Northern America",Northern America
"Sodium chloride, at plant","Sodium chloride, at plant@Northern America","Sodium chloride, at plant@Sodium chloride, at plant@Northern America",Northern America
"Sodium hydroxide, production mix, at plant","Sodium hydroxide, production mix, at plant@Chlorine, production mix, at plant","Sodium hydroxide, production mix, at plant@Chlorine, production mix, at plant@United States",United States
Solid strip and plank flooring; hardwood,"Solid strip and plank flooring; hardwood@Solid strip and plank flooring, hardwood, E","Solid strip and plank flooring; hardwood@Solid strip and plank flooring, hardwood, E@United States",United States
"Soy biodiesel, production, at plant","Soy biodiesel, production, at plant@Soy biodiesel, production, at plant","Soy biodiesel, production, at plant@Soy biodiesel, production, at plant@Northern America",Northern America
"Soy meal, at plant","Soy meal, at plant@Soybean oil, crude, degummed, at plant","Soy meal, at plant@Soybean oil, crude, degummed, at plant@Northern America",Northern America
"Soy oil, refined, at plant","Soy oil, refined, at plant@Soy oil, refined, at plant","Soy oil, refined, at plant@Soy oil, refined, at plant@Northern America",Northern America
"Soy-based polyol, at plant","Soy-based polyol, at plant@Northern America","Soy-based polyol, at plant@Soy-based polyol, at plant@Northern America",Northern America
"Soy-based resin, at plant","Soy-based resin, at plant@Northern America","Soy-based resin, at plant@Soy-based resin, at plant@Northern America",Northern America
"Soybean grains, at field","Soybean grains, at field@Soybean grains, at field","Soybean grains, at field@Soybean grains, at field@Northern America",Northern America
"Soybean oil, crude, degummed, at plant","Soybean oil, crude, degummed, at plant@Soybean oil, crude, degummed, at plant","Soybean oil, crude, degummed, at plant@Soybean oil, crude, degummed, at plant@Northern America",Northern America
"Soybean residues, at field","Soybean residues, at field@Soybean grains, at field","Soybean residues, at field@Soybean grains, at field@Northern America",Northern America
Spoil (deposited),"Spoil (deposited)@Aluminum, cold rolling, at plant","Spoil (deposited)@Aluminum, cold rolling, at plant@Northern America",Northern America
"Spring wheat straw, carted, 2022","Spring wheat straw, carted, 2022@Northern America","Spring wheat straw, carted@Spring wheat straw, carted, 2022@Northern America",Northern America
"Spring wheat straw, ground and stored, 2022","Spring wheat straw, ground and stored, 2022@Northern America","Spring wheat straw, ground and stored@Spring wheat straw, ground and stored, 2022@Northern America",Northern America
"Steam, at bleached kraft market pulp mill","Steam, at bleached kraft market pulp mill@Pulp, kraft market, bleached, average production, at mill","Steam, at bleached kraft market pulp mill@Pulp, kraft market, bleached, average production, at mill@Northern America",Northern America
"Steam, at coated freesheet mill","Steam, at coated freesheet mill@Paper, freesheet, coated, average production, at mill","Steam, at coated freesheet mill@Paper, freesheet, coated, average production, at mill@Northern America",Northern America
"Steam, at coated mechanical paper mill","Steam, at coated mechanical paper mill@Paper, mechanical, coated, average production, at mill","Steam, at coated mechanical paper mill@Paper, mechanical, coated, average production, at mill@Northern America",Northern America
"Steam, at uncoated freesheet mill","Steam, at uncoated freesheet mill@Paper, freesheet, uncoated, average production, at mill, 2006","Steam, at uncoated freesheet mill@Paper, freesheet, uncoated, average production, at mill, 2006@Northern America",Northern America
"Steam, at uncoated mechanical paper mill","Steam, at uncoated mechanical paper mill@Paper, mechanical, uncoated, average production, at mill","Steam, at uncoated mechanical paper mill@Paper, mechanical, uncoated, average production, at mill@Northern America",Northern America
"Steam, purchased by containerboard mills","Steam, purchased by containerboard mills@Northern America","Steam, purchased by containerboard mills@Steam, purchased by containerboard mills@Northern America",Northern America
"Steel product, primary structural, beams and columns, at plant","Steel product, primary structural, beams and columns, at plant@Steel product, primary structural, beams and columns, at plant","Steel product, primary structural, beams and columns, at plant@Steel product, primary structural, beams and columns, at plant@Northern America",Northern America
"Steel product, secondary structural, girts and purlins, at plant","Steel product, secondary structural, girts and purlins, at plant@Steel product, secondary structural, girts and purlins, at plant","Steel product, secondary structural, girts and purlins, at plant@Steel product, secondary structural, girts and purlins, at plant@Northern America",Northern America
"Steel scrap; zinc-coated, from cold-forming; at plant","Steel scrap; zinc-coated, from cold-forming; at plant@Steel, cold-formed studs and track, at plant","Steel scrap; zinc-coated, from cold-forming; at plant@Steel, cold-formed studs and track, at plant@Northern America",Northern America
"Steel, billets, at plant","Steel, billets, at plant@Northern America","Steel, billets, at plant@Steel, billets, at plant@Northern America",Northern America
"Steel, cold-formed studs and track, at plant","Steel, cold-formed studs and track, at plant@Steel, cold-formed studs and track, at plant","Steel, cold-formed studs and track, at plant@Steel, cold-formed studs and track, at plant@Northern America",Northern America
"Steel, liquid, at plant","Steel, liquid, at plant@Northern America","Steel, liquid, at plant@Steel, liquid, at plant@Northern America",Northern America
"Steel, stainless 304, flat rolled coil","Steel, stainless 304, flat rolled coil@Steel, stainless 304, flat rolled coil","Steel, stainless 304, flat rolled coil@Steel, stainless 304, flat rolled coil@Northern America",Northern America
"Steel, stainless 304, quarto plate","Steel, stainless 304, quarto plate@Steel, stainless 304, quarto plate","Steel, stainless 304, quarto plate@Steel, stainless 304, quarto plate@Northern America",Northern America
"Steel, stainless 304, scrap","Steel, stainless 304, scrap@Steel, stainless 304, scrap","Steel, stainless 304, scrap@Steel, stainless 304, scrap@Global",Global
"Sulfur, at plant","Sulfur, at plant@Sulfur, at plant","Sulfur, at plant@Sulfur, at plant@Northern America",Northern America
"Sulfur, thermochemical process","Sulfur, thermochemical process@Ethanol, denatured, forest residues, thermochem","Sulfur, thermochemical process@Ethanol, denatured, forest residues, thermochem@Northern America",Northern America
"Sulfuric acid, at plant","Sulfuric acid, at plant@Sulfuric acid, at plant","Sulfuric acid, at plant@Sulfuric acid, at plant@Northern America",Northern America
"Surfaced dried lumber, from open molding, for shipping","Surfaced dried lumber, from open molding, for shipping@Open molding, rigid composites part, at plant","Surfaced dried lumber, from open molding, for shipping@Open molding, rigid composites part, at plant@Northern America",Northern America
"Switchgrass, at conversion plant, 2022","Switchgrass, at conversion plant, 2022@Northern America","Switchgrass, at conversion plant@Switchgrass, at conversion plant, 2022@Northern America",Northern America
"Switchgrass, carted, 2022","Switchgrass, carted, 2022@Northern America","Switchgrass, carted@Switchgrass, carted, 2022@Northern America",Northern America
"Switchgrass, ground and stored, 2022","Switchgrass, ground and stored, 2022@Northern America","Switchgrass, ground and stored@Switchgrass, ground and stored, 2022@Northern America",Northern America
"Switchgrass, harvested, wet","Switchgrass, harvested, wet@Northern America","Switchgrass, harvested, wet@Switchgrass, harvested, wet@Northern America",Northern America
"Switchgrass, production, US, 2022","Switchgrass, production, US, 2022@Northern America","Switchgrass, production@Switchgrass, production, US, 2022@Northern America",Northern America
"TDF, combusted in industrial boiler, at pulp and paper mill (EXCL.)","TDF, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America","TDF, combusted in industrial boiler, at pulp and paper mill (EXCL.)@TDF, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America",Northern America
Tailings (deposited),"Tailings (deposited)@Aluminum, cold rolling, at plant","Tailings (deposited)@Aluminum, cold rolling, at plant@Northern America",Northern America
"Tailings, unspecified","Tailings, unspecified@Natural soda ash (Sodium carbonate), at plant","Tailings, unspecified@Natural soda ash (Sodium carbonate), at plant@United States",United States
"Tall oil, at bleached kraft market pulp mill","Tall oil, at bleached kraft market pulp mill@Pulp, kraft market, bleached, average production, at mill","Tall oil, at bleached kraft market pulp mill@Pulp, kraft market, bleached, average production, at mill@Northern America",Northern America
"Tall oil, at coated freesheet mill","Tall oil, at coated freesheet mill@Paper, freesheet, coated, average production, at mill","Tall oil, at coated freesheet mill@Paper, freesheet, coated, average production, at mill@Northern America",Northern America
"Tall oil, at coated mechanical paper mill","Tall oil, at coated mechanical paper mill@Paper, mechanical, coated, average production, at mill","Tall oil, at coated mechanical paper mill@Paper, mechanical, coated, average production, at mill@Northern America",Northern America
"Tall oil, at unbleached kraft bag and sack paper mill","Tall oil, at unbleached kraft bag and sack paper mill@Paper, bag and sack, unbleached kraft, average production, at mill","Tall oil, at unbleached kraft bag and sack paper mill@Paper, bag and sack, unbleached kraft, average production, at mill@Northern America",Northern America
"Tall oil, at uncoated freesheet mill","Tall oil, at uncoated freesheet mill@Paper, freesheet, uncoated, average production, at mill, 2006","Tall oil, at uncoated freesheet mill@Paper, freesheet, uncoated, average production, at mill, 2006@Northern America",Northern America
"Tall oil, at uncoated mechanical paper mill","Tall oil, at uncoated mechanical paper mill@Paper, mechanical, uncoated, average production, at mill","Tall oil, at uncoated mechanical paper mill@Paper, mechanical, uncoated, average production, at mill@Northern America",Northern America
Tar,"Tar@Electricity, biomass, at power plant","Tar@Electricity, biomass, at power plant@Northern America",Northern America
"Thermoforming, rigid polypropylene part, at plant","Thermoforming, rigid polypropylene part, at plant@Thermoforming, rigid polypropylene part, at plant","Thermoforming, rigid polypropylene part, at plant@Thermoforming, rigid polypropylene part, at plant@Northern America",Northern America
"Tillage, conservation, corn production","Tillage, conservation, corn production@Northern America","Tillage, conservation, corn production@Tillage, conservation, corn production@Northern America",Northern America
"Tillage, intensive, corn production","Tillage, intensive, corn production@Northern America","Tillage, intensive, corn production@Tillage, intensive, corn production@Northern America",Northern America
"Tillage, reduce, corn production","Tillage, reduce, corn production@Northern America","Tillage, reduce, corn production@Tillage, reduce, corn production@Northern America",Northern America
"Toluene diisocyanate, TDI, at plant","Toluene diisocyanate, TDI, at plant@Toluene diisocyanate, TDI, at plant","Toluene diisocyanate, TDI, at plant@Toluene diisocyanate, TDI, at plant@Northern America",Northern America
"Toluene, at plant","Toluene, at plant@Northern America","Toluene, at plant@Toluene, at plant@Northern America",Northern America
"Transport, aircraft, freight","Transport, aircraft, freight@Northern America","Transport, aircraft, freight@Transport, aircraft, freight@Northern America",Northern America
"Transport, barge, average fuel mix","Transport, barge, average fuel mix@Northern America","Transport, barge, average fuel mix@Transport, barge, average fuel mix@Northern America",Northern America
"Transport, barge, diesel powered","Transport, barge, diesel powered@Northern America","Transport, barge, diesel powered@Transport, barge, diesel powered@Northern America",Northern America
"Transport, barge, residual fuel oil powered","Transport, barge, residual fuel oil powered@Northern America","Transport, barge, residual fuel oil powered@Transport, barge, residual fuel oil powered@Northern America",Northern America
"Transport, combination truck, average fuel mix","Transport, combination truck, average fuel mix@Northern America","Transport, combination truck, average fuel mix@Transport, combination truck, average fuel mix@Northern America",Northern America
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered@Northern America","Transport, combination truck, diesel powered@Transport, combination truck, diesel powered@Northern America",Northern America
"Transport, combination truck, gasoline powered","Transport, combination truck, gasoline powered@Northern America","Transport, combination truck, gasoline powered@Transport, combination truck, gasoline powered@Northern America",Northern America
"Transport, combination truck, long-haul, diesel powered, Alaska","Transport, combination truck, long-haul, diesel powered, Alaska@Northern America","Transport, combination truck, long-haul, diesel powered@Transport, combination truck, long-haul, diesel powered, Alaska@Northern America",Northern America
"Transport, combination truck, long-haul, diesel powered, Central","Transport, combination truck, long-haul, diesel powered, Central@Northern America","Transport, combination truck, long-haul, diesel powered@Transport, combination truck, long-haul, diesel powered, Central@Northern America",Northern America
"Transport, combination truck, long-haul, diesel powered, East North Central","Transport, combination truck, long-haul, diesel powered, East North Central@Northern America","Transport, combination truck, long-haul, diesel powered@Transport, combination truck, long-haul, diesel powered, East North Central@Northern America",Northern America
"Transport, combination truck, long-haul, diesel powered, Hawaii","Transport, combination truck, long-haul, diesel powered, Hawaii@Northern America","Transport, combination truck, long-haul, diesel powered@Transport, combination truck, long-haul, diesel powered, Hawaii@Northern America",Northern America
"Transport, combination truck, long-haul, diesel powered, Northeast","Transport, combination truck, long-haul, diesel powered, Northeast@Northern America","Transport, combination truck, long-haul, diesel powered@Transport, combination truck, long-haul, diesel powered, Northeast@Northern America",Northern America
"Transport, combination truck, long-haul, diesel powered, Northwest","Transport, combination truck, long-haul, diesel powered, Northwest@Northern America","Transport, combination truck, long-haul, diesel powered@Transport, combination truck, long-haul, diesel powered, Northwest@Northern America",Northern America
"Transport, combination truck, long-haul, diesel powered, South","Transport, combination truck, long-haul, diesel powered, South@Northern America","Transport, combination truck, long-haul, diesel powered@Transport, combination truck, long-haul, diesel powered, South@Northern America",Northern America
"Transport, combination truck, long-haul, diesel powered, Southeast","Transport, combination truck, long-haul, diesel powered, Southeast@Northern America","Transport, combination truck, long-haul, diesel powered@Transport, combination truck, long-haul, diesel powered, Southeast@Northern America",Northern America
