scenario,behavior,characteristics,mean,standard_deviation,min,max,value_absence,value_presence,independent_charac,booleans,strings
Arkansas,recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
Arkansas,recycling,availability,,,,,,,,True,
Arkansas,recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Arkansas,recycling,ds,0.485760196,1e-06,0.0,1.0,0,1,True,,
Arkansas,recycling,err,-1.0,0.0500409052078838,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Arkansas,recycling,households,539.3903121,67.86585934,426.9678621,651.8444341,,,True,,
Arkansas,recycling,ht,0.728518045,0.133685238,0.0,1.0,0,1,True,,
Arkansas,recycling,kn,0.318410466,0.072482515,0.0,1.0,0,1,True,,
Arkansas,recycling,name,,,,,,,,,recycling
Arkansas,recycling,ns,0.788277958,1e-06,0.0,1.0,0,1,True,,
Arkansas,recycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Arkansas,recycling,pr,0.0570776266666666,1e-06,0.0,1.0,0,1,True,,
Arkansas,recycling,sn,0.0570776266666666,1e-06,0.0,1.0,trash,recycling,False,,
Arkansas,trash,att,0.0,1e-06,0.0,1.0,0,1,True,,
Arkansas,trash,availability,,,,,,,,True,
Arkansas,trash,bin,1.0,1e-06,0.0,1.0,0,1,True,,
Arkansas,trash,ds,0.0,1e-06,0.0,1.0,0,1,True,,
Arkansas,trash,err,0.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Arkansas,trash,households,539.3903121,67.86585934,426.9678621,651.8444341,,,True,,
Arkansas,trash,ht,1.0,1e-06,0.0,1.0,0,1,True,,
Arkansas,trash,kn,1.0,1e-06,0.0,1.0,0,1,True,,
Arkansas,trash,name,,,,,,,,,trash
Arkansas,trash,ns,0.0,1e-06,0.0,1.0,0,1,True,,
Arkansas,trash,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
Arkansas,trash,pr,0.931506849,1e-06,0.0,1.0,0,1,True,,
Arkansas,trash,sn,0.931506849,1e-06,0.0,1.0,recycling,trash,False,,
Arkansas,wishcycling,att,0.0,0.1,0.0,1.0,0,1,True,,
Arkansas,wishcycling,availability,,,,,,,,True,
Arkansas,wishcycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Arkansas,wishcycling,ds,0.485760196,1e-06,0.0,1.0,0,1,True,,
Arkansas,wishcycling,err,-2.0,0.0500409052078838,-2.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Arkansas,wishcycling,households,539.3903121,67.86585934,426.9678621,651.8444341,,,True,,
Arkansas,wishcycling,ht,0.728518045,0.133685238,0.0,1.0,0,1,True,,
Arkansas,wishcycling,kn,0.318410466,0.072482515,0.0,1.0,0,1,True,,
Arkansas,wishcycling,name,,,,,,,,,wishcycling
Arkansas,wishcycling,ns,0.788277958,1e-06,0.0,1.0,0,1,True,,
Arkansas,wishcycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Arkansas,wishcycling,pr,0.0114155253333333,1e-06,0.0,1.0,0,1,True,,
