,sn,pbc,kn,ds,high_prob_habit,Y
4995,0.05810546875,0.05810546875,0.37060546875,-0.46044921875,0.53955078125,0.4568738461749164
4996,0.05810546875,0.05810546875,0.12548828125,-0.88720703125,0.53955078125,0.44974614411533836
4997,0.05810546875,0.05810546875,0.12548828125,-0.46044921875,0.11865234375,0.41278236354931325
4998,0.05810546875,0.44287109375,0.37060546875,-0.88720703125,0.11865234375,0.38926601006472866
4999,0.51025390625,0.05810546875,0.37060546875,-0.88720703125,0.11865234375,0.4158759509149601
5000,0.51025390625,0.44287109375,0.12548828125,-0.88720703125,0.11865234375,0.4052762315303095
5001,0.51025390625,0.44287109375,0.37060546875,-0.46044921875,0.11865234375,0.41428661481246976
5002,0.51025390625,0.44287109375,0.37060546875,-0.88720703125,0.53955078125,0.4730104369037869
5003,0.51025390625,0.44287109375,0.37060546875,-0.88720703125,0.11865234375,0.40283962396536155
5004,0.55810546875,0.55810546875,0.62548828125,-0.96044921875,0.03955078125,0.399621035724759
5005,0.01025390625,0.55810546875,0.62548828125,-0.96044921875,0.03955078125,0.382515581436603
5006,0.55810546875,0.94287109375,0.62548828125,-0.96044921875,0.03955078125,0.390393770614278
5007,0.55810546875,0.55810546875,0.87060546875,-0.96044921875,0.03955078125,0.3985442522946855
5008,0.55810546875,0.55810546875,0.62548828125,-0.38720703125,0.03955078125,0.4102773637523674
5009,0.55810546875,0.55810546875,0.62548828125,-0.96044921875,0.61865234375,0.5468390432246953
5010,0.55810546875,0.94287109375,0.87060546875,-0.38720703125,0.61865234375,0.5509557109495762
5011,0.01025390625,0.55810546875,0.87060546875,-0.38720703125,0.61865234375,0.5284543413694915
5012,0.01025390625,0.94287109375,0.62548828125,-0.38720703125,0.61865234375,0.5296555113162046
5013,0.01025390625,0.94287109375,0.87060546875,-0.96044921875,0.61865234375,0.5250858312634632
5014,0.01025390625,0.94287109375,0.87060546875,-0.38720703125,0.03955078125,0.3889682793827709
5015,0.01025390625,0.94287109375,0.87060546875,-0.38720703125,0.61865234375,0.5280998542020215
5016,0.80810546875,0.30810546875,0.37548828125,-0.21044921875,0.28955078125,0.43863664064427965
5017,0.26025390625,0.30810546875,0.37548828125,-0.21044921875,0.28955078125,0.4159261791821321
5018,0.80810546875,0.19287109375,0.37548828125,-0.21044921875,0.28955078125,0.4448524974534954
5019,0.80810546875,0.30810546875,0.62060546875,-0.21044921875,0.28955078125,0.43843872071281226
5020,0.80810546875,0.30810546875,0.37548828125,-0.13720703125,0.28955078125,0.43889436874943316
5021,0.80810546875,0.30810546875,0.37548828125,-0.21044921875,0.86865234375,0.6473300257976934
5022,0.80810546875,0.19287109375,0.62060546875,-0.13720703125,0.86865234375,0.6506903057345788
5023,0.26025390625,0.30810546875,0.62060546875,-0.13720703125,0.86865234375,0.6374267831112264
5024,0.26025390625,0.19287109375,0.37548828125,-0.13720703125,0.86865234375,0.6383604877437044
5025,0.26025390625,0.19287109375,0.62060546875,-0.21044921875,0.86865234375,0.635394577226814
