year,vmanuf_to_use,use_to_dispose,dispose_to_landfill,dispose_to_collection,dispose_to_mrf,dispose_to_wte_uncollected,dispose_to_wte_collected,mrf_to_m_reclaimer,mrf_to_c_reclaimer,mrf_to_c_upcycler,mrf_to_ppo_reclaimer,mrf_to_frp_reclaimer,mrf_to_landfill,m_reclaimer_to_manuf,m_reclaimer_to_landfill,c_reclaimer_to_manuf,c_reclaimer_to_landfill,rmanuf_to_use,rmanuf_to_landfill,cl_recycled,downcycled,wte_energy,pyrolysis_fuel_oil,fiber_reinforced_resin,plastic_demand_data,total_bale_quantity,total_bale_quantity_mechanical_reclaimer,total_bale_quantity_chemical_reclaimer,total_bale_quantity_upcycling_reclaimer,total_bale_quantity_pyrolysis_reclaimer,total_bale_quantity_fiber_reinforced_resin_reclaimer,landfill,cl_circularity,ol_circularity,u_circularity_ppo,u_circularity_frp,u_circularity,wte_circularity,linear_flow_index,material_circularity_index_recycling,material_circularity_index_downcycling,material_circularity_index_pyrolysis,material_circularity_index_fiber_reinforced_resin,material_circularity_index_incineration,utility_factor_incineration,utility_factor_recycling,utility_factor_downcycling,utility_factor_pyrolysis,utility_fiber_reinforced_resin,material_circularity_index,scenario
2030,7154.346759088934,9018.67124468989,5535.610704005728,2867.992684683525,2867.992684683525,615.0678560006364,0.0,0.0,2609.8733430620077,0.0,0.0,0.0,258.11934162151715,0.0,0.0,1983.503740727126,626.3696023348818,1983.503740727126,0.0,1983.503740727126,0.0,169143660.400175,0.0,0.0,417233.79999999946,3907.134951760936,0.0,3907.134951760936,0.0,0.0,0.0,6420.099647962126,0.2199330352456294,0.0,0.0,0.0,0.0,0.06819938761630576,0.5500772169941217,0.5049305047052904,0.3399073396070539,0.2383546226235238,0.9752465252352646,0.17488417450881732,0.6,1.0,0.75,0.65,20.0,0.12297789209322657,chemical recycling
2031,7312.582430324114,9203.125309340729,5660.17346822527,2914.0436779793167,2914.0436779793167,628.9081631361412,0.0,0.0,2651.779746961178,0.0,0.0,0.0,262.2639310181385,0.0,0.0,2015.3526076904952,636.4271392706827,2015.3526076904952,0.0,2015.3526076904952,0.0,172949744.86243883,0.0,0.0,425767.2599999999,3973.5644743752655,0.0,3973.5644743752655,0.0,0.0,0.0,6558.864538514092,0.21898567496902488,0.0,0.0,0.0,0.0,0.06833636857012364,0.5512243706617276,0.5038980664044452,0.3385307552059269,0.23676625600683876,0.9751949033202223,0.17316344400740857,0.6,1.0,0.75,0.65,20.0,0.1221798191197262,chemical recycling
2032,7467.050800381795,9387.579373991566,5789.682430591894,2954.5988955561293,2954.5988955561293,643.2980478435438,0.0,0.0,2688.684994956078,0.0,0.0,0.0,265.9139006000515,0.0,0.0,2043.4005961666192,645.2843987894586,2043.4005961666192,0.0,2043.4005961666192,0.0,176906963.15697455,0.0,0.0,434300.7200000003,4029.631234703418,0.0,4029.631234703418,0.0,0.0,0.0,6700.880729981404,0.21767065978988068,0.0,0.0,0.0,0.0,0.06852650957347013,0.553195620193506,0.5021239418258445,0.33616525576779277,0.23403683357822247,0.9751061970912922,0.1702065697097409,0.6,1.0,0.75,0.65,20.0,0.1209613118422093,chemical recycling
2033,7625.320048926662,9572.033438642347,5907.493270511387,3008.1520269630296,3008.1520269630296,656.3881411679318,0.0,0.0,2737.418344536357,0.0,0.0,0.0,270.7336824266726,0.0,0.0,2080.4379418476315,656.9804026887256,2080.4379418476315,0.0,2080.4379418476315,0.0,180506738.82118127,0.0,0.0,442834.1799999981,4106.127312358008,0.0,4106.127312358008,0.0,0.0,0.0,6835.207355626785,0.21734545279051085,0.0,0.0,0.0,0.0,0.06857353198517774,0.5532874944445458,0.5020412549999087,0.336055006666545,0.23390962307678276,0.9751020627499954,0.17006875833318125,0.6,1.0,0.75,0.65,20.0,0.12077859932671134,chemical recycling
2034,7774.599940266699,9756.487503293189,6029.950186862872,3056.5428512233293,3056.5428512233293,669.9944652069859,0.0,0.0,2781.4539946132295,0.0,0.0,0.0,275.0888566100996,0.0,0.0,2113.9050359060548,667.5489587071751,2113.9050359060548,0.0,2113.9050359060548,0.0,184248477.93192112,0.0,0.0,451367.6399999985,4174.77311842871,0.0,4174.77311842871,0.0,0.0,0.0,6972.588002180148,0.21666660621381728,0.0,0.0,0.0,0.0,0.06867168793900849,0.5543841205300949,0.5010542915229146,0.33473905536388615,0.23239121772756088,0.9750527145761457,0.1684238192048576,0.6,1.0,0.75,0.65,20.0,0.12012768082707051,chemical recycling
2035,7927.450083229326,9940.941567944026,6160.002872790238,3096.4939315104284,3096.4939315104284,684.4447636433598,0.0,0.0,2817.80947767449,0.0,0.0,0.0,278.6844538359385,0.0,0.0,2141.5352030326126,676.2742746418776,2141.5352030326126,0.0,2141.5352030326126,0.0,188222310.00192395,0.0,0.0,459901.0999999989,4228.573867796842,0.0,4228.573867796842,0.0,0.0,0.0,7114.961601268054,0.21542579124881853,0.0,0.0,0.0,0.0,0.06885110016645192,0.556332798203847,0.49930048161653773,0.3324006421553837,0.2296930486408273,0.9749650240808269,0.1655008026942295,0.6,1.0,0.75,0.65,20.0,0.1189571136670874,chemical recycling
2036,8086.137153123818,10125.395632594866,6281.553826829865,3145.8913805616835,3145.8913805616835,697.9504252033183,0.0,0.0,2862.761156311132,0.0,0.0,0.0,283.1302242505514,0.0,0.0,2175.69847879646,687.0626775146717,2175.69847879646,0.0,2175.69847879646,0.0,191936366.93091255,0.0,0.0,468434.55999999936,4297.750838249188,0.0,4297.750838249188,0.0,0.0,0.0,7251.746728595088,0.21487540415632012,0.0,0.0,0.0,0.0,0.06893068187444765,0.556844100474391,0.49884030957304804,0.3317870794307307,0.22898509165084313,0.9749420154786524,0.1647338492884134,0.6,1.0,0.75,0.65,20.0,0.11854372968822537,chemical recycling
2037,8238.29111438102,10309.849697245705,6409.555906024693,3188.1209127738243,3188.1209127738243,712.1728784471882,0.0,0.0,2901.1900306241805,0.0,0.0,0.0,286.93088214964416,0.0,0.0,2204.904423274377,696.2856073498032,2204.904423274377,0.0,2204.904423274377,0.0,195847541.57297674,0.0,0.0,476968.0199999998,4355.375437259352,0.0,4355.375437259352,0.0,0.0,0.0,7392.772395524141,0.213863876586234,0.0,0.0,0.0,0.0,0.06907694092159718,0.5584414556631829,0.4974026899031353,0.3298702532041804,0.2267733690817466,0.9748701344951568,0.1623378165052255,0.6,1.0,0.75,0.65,20.0,0.11759026724717749,chemical recycling
2038,8395.402406924153,10494.303761896545,6535.0358296433105,3233.1528400706447,3233.1528400706447,726.11509218259,0.0,0.0,2942.1690844642867,0.0,0.0,0.0,290.983755606358,0.0,0.0,2236.0485041928578,706.1205802714288,2236.0485041928578,0.0,2236.0485041928578,0.0,199681650.35021225,0.0,0.0,485501.4800000002,4419.259390558033,0.0,4419.259390558033,0.0,0.0,0.0,7532.140165521097,0.21307259203908885,0.0,0.0,0.0,0.0,0.06919135453454471,0.5594674628825154,0.4964792834057361,0.3286390445409815,0.22535274370113245,0.9748239641702868,0.16079880567622684,0.6,1.0,0.75,0.65,20.0,0.11691201498124475,chemical recycling
2039,8550.575563026663,10678.757826547326,6647.9992378260295,3292.0920067406273,3292.0920067406273,738.6665819806699,0.0,0.0,2995.803726133971,0.0,0.0,0.0,296.2882806066563,0.0,0.0,2276.810831861818,718.9928942721531,2276.810831861818,0.0,2276.810831861818,0.0,203133310.04468423,0.0,0.0,494034.93999999797,4502.069131533053,0.0,4502.069131533053,0.0,0.0,0.0,7663.280412704838,0.21320933284971405,0.0,0.0,0.0,0.0,0.06917158287308936,0.5589369174249315,0.4969567743175617,0.32927569909008225,0.22608734510394113,0.9748478387158781,0.16159462386260282,0.6,1.0,0.75,0.65,20.0,0.11713357822375098,chemical recycling
