,location,year,bale,material,value
190,Minnesota_Hubbard,2020,hdpe_bale,cardboard,13.092725193207997
191,Minnesota_Hubbard,2020,hdpe_bale,iron,0.0
192,Minnesota_Hubbard,2020,hdpe_bale,glass,0.9918774692064005
193,Minnesota_Hubbard,2020,hdpe_bale,hdpe,62.890781562
194,Minnesota_Hubbard,2020,hdpe_bale,paper,0.6424489676842668
195,Minnesota_Hubbard,2020,hdpe_bale,pet,0.07486997804999973
196,Minnesota_Hubbard,2020,hdpe_bale,film,0.018773244685637847
197,Minnesota_Hubbard,2020,hdpe_bale,other,0.15805884255000002
198,Minnesota_Hubbard,2020,iron_bale,aluminum,0.0
199,Minnesota_Hubbard,2020,iron_bale,cardboard,0.0
200,Minnesota_Hubbard,2020,iron_bale,iron,2.0797216124999998
201,Minnesota_Hubbard,2020,iron_bale,glass,0.0
202,Minnesota_Hubbard,2020,iron_bale,hdpe,0.0
203,Minnesota_Hubbard,2020,iron_bale,paper,0.0
204,Minnesota_Hubbard,2020,iron_bale,pet,0.0
205,Minnesota_Hubbard,2020,iron_bale,film,0.000750929787425514
206,Minnesota_Hubbard,2020,iron_bale,other,0.0
207,Minnesota_Hubbard,2020,aluminum_bale,aluminum,12.9109117704
208,Minnesota_Hubbard,2020,aluminum_bale,cardboard,0.0
209,Minnesota_Hubbard,2020,aluminum_bale,iron,0.0
210,Minnesota_Hubbard,2020,aluminum_bale,glass,6.199234182540006
211,Minnesota_Hubbard,2020,aluminum_bale,hdpe,0.0
212,Minnesota_Hubbard,2020,aluminum_bale,paper,0.0
213,Minnesota_Hubbard,2020,aluminum_bale,pet,0.0
214,Minnesota_Hubbard,2020,aluminum_bale,film,0.0
215,Minnesota_Hubbard,2020,aluminum_bale,other,0.0
216,West Virginia_Morgan,2020,vacuum,aluminum,6.221111856
217,West Virginia_Morgan,2020,vacuum,cardboard,793.1917616399999
218,West Virginia_Morgan,2020,vacuum,iron,4.665833891999998
219,West Virginia_Morgan,2020,vacuum,glass,6.221111856
220,West Virginia_Morgan,2020,vacuum,hdpe,93.31667784
221,West Virginia_Morgan,2020,vacuum,paper,26.31190997917204
222,West Virginia_Morgan,2020,vacuum,pet,171.08057603999998
223,West Virginia_Morgan,2020,vacuum,film,3.20944207333714
224,West Virginia_Morgan,2020,vacuum,other,0.0
225,West Virginia_Morgan,2020,film_bale,aluminum,0.0
226,West Virginia_Morgan,2020,film_bale,cardboard,15.863835232799998
227,West Virginia_Morgan,2020,film_bale,iron,0.0
228,West Virginia_Morgan,2020,film_bale,glass,0.0
229,West Virginia_Morgan,2020,film_bale,hdpe,0.0
230,West Virginia_Morgan,2020,film_bale,paper,0.5262381995834408
231,West Virginia_Morgan,2020,film_bale,pet,0.0
232,West Virginia_Morgan,2020,film_bale,film,3.1452532318703974
233,West Virginia_Morgan,2020,film_bale,other,0.0
234,West Virginia_Morgan,2020,cardboard_bale,aluminum,0.0
235,West Virginia_Morgan,2020,cardboard_bale,cardboard,582.9959448053999
236,West Virginia_Morgan,2020,cardboard_bale,iron,0.0
237,West Virginia_Morgan,2020,cardboard_bale,glass,0.0
238,West Virginia_Morgan,2020,cardboard_bale,hdpe,0.0
239,West Virginia_Morgan,2020,cardboard_bale,paper,0.515713435591772
240,West Virginia_Morgan,2020,cardboard_bale,pet,0.0
241,West Virginia_Morgan,2020,cardboard_bale,film,0.0
242,West Virginia_Morgan,2020,cardboard_bale,other,0.0
243,West Virginia_Morgan,2020,glass_bale,aluminum,0.0
244,West Virginia_Morgan,2020,glass_bale,cardboard,0.0
245,West Virginia_Morgan,2020,glass_bale,iron,0.0
246,West Virginia_Morgan,2020,glass_bale,glass,6.03447850032
247,West Virginia_Morgan,2020,glass_bale,hdpe,0.0
248,West Virginia_Morgan,2020,glass_bale,paper,0.0
249,West Virginia_Morgan,2020,glass_bale,pet,0.0
250,West Virginia_Morgan,2020,glass_bale,film,0.0
251,West Virginia_Morgan,2020,glass_bale,other,0.0
252,West Virginia_Morgan,2020,pet_bale,aluminum,0.1866333556800006
253,West Virginia_Morgan,2020,pet_bale,cardboard,9.522267098488214
254,West Virginia_Morgan,2020,pet_bale,iron,0.0
255,West Virginia_Morgan,2020,pet_bale,glass,0.014930668454399998
256,West Virginia_Morgan,2020,pet_bale,hdpe,9.331667784000004
257,West Virginia_Morgan,2020,pet_bale,paper,0.07580987503199066
258,West Virginia_Morgan,2020,pet_bale,pet,155.68332419639998
259,West Virginia_Morgan,2020,pet_bale,film,0.012581012927481594
260,West Virginia_Morgan,2020,pet_bale,other,0.0
261,West Virginia_Morgan,2020,hdpe_bale,aluminum,0.18103435500959986
262,West Virginia_Morgan,2020,hdpe_bale,cardboard,9.046153743563792
263,West Virginia_Morgan,2020,hdpe_bale,iron,0.0
