,Equipment,Fraction of equipment capacity utilized ,Rated motor capacity (kW),Diesel use(L/t),ops_list,total_flow,time,electricity kwh,region
3,glass_breaker,0.85,30.0,0,glass_breaker,1339.0276326909209,68.6460397583232,2422.8014032349365,Indiana_Posey
4,nir_hdpe,0.85,13.0,0,nir_hdpe,456.96423397515616,68.6460397583232,1049.8806080684724,Indiana_Posey
5,nir_pet,0.85,40.0,0,nir_pet,668.8803897071691,68.6460397583232,3230.4018709799157,Indiana_Posey
6,magnet,0.85,4.0,0,magnet,354.265940602556,68.6460397583232,323.0401870979915,Indiana_Posey
7,eddy,0.85,9.0,0,eddy,455.09776948814556,68.6460397583232,726.8404209704809,Indiana_Posey
0,vacuum,0.85,5.0,0,vacuum,250.31688158885208,8.343896052961735,49.08174148801021,Texas_Real
1,disc_screen1,0.85,8.5,0,disc_screen1,245.76377189516518,8.343896052961735,83.43896052961736,Texas_Real
2,disc_screen2,0.85,5.5,0,disc_screen2,136.9764179919777,8.343896052961735,53.98991563681123,Texas_Real
3,glass_breaker,0.85,30.0,0,glass_breaker,146.4932875937277,8.343896052961735,294.49044892806126,Texas_Real
4,nir_hdpe,0.85,13.0,0,nir_hdpe,71.59740467022516,8.343896052961735,127.61252786882655,Texas_Real
5,nir_pet,0.85,40.0,0,nir_pet,103.29748826046527,8.343896052961735,392.6539319040817,Texas_Real
6,magnet,0.85,4.0,0,magnet,51.15363997420672,8.343896052961735,39.26539319040817,Texas_Real
7,eddy,0.85,9.0,0,eddy,71.39738721127969,8.343896052961735,88.34713467841837,Texas_Real
0,vacuum,0.85,5.0,0,vacuum,774.6861314100819,25.822871047002728,151.89924145295723,Missouri_DeKalb
1,disc_screen1,0.85,8.5,0,disc_screen1,759.7601637496148,25.822871047002728,258.2287104700273,Missouri_DeKalb
2,disc_screen2,0.85,5.5,0,disc_screen2,330.0439326068893,25.822871047002728,167.08916559825295,Missouri_DeKalb
3,glass_breaker,0.85,30.0,0,glass_breaker,427.6413443063893,25.822871047002728,911.3954487177434,Missouri_DeKalb
4,nir_hdpe,0.85,13.0,0,nir_hdpe,179.12539401095358,25.822871047002728,394.9380277776888,Missouri_DeKalb
5,nir_pet,0.85,40.0,0,nir_pet,245.07683203240833,25.822871047002728,1215.1939316236578,Missouri_DeKalb
6,magnet,0.85,4.0,0,magnet,143.49190530022852,25.822871047002728,121.51939316236579,Missouri_DeKalb
7,eddy,0.85,9.0,0,eddy,178.57511754019282,25.822871047002728,273.418634615323,Missouri_DeKalb
0,vacuum,0.85,5.0,0,vacuum,1944.6742116380392,64.82247372126797,381.30866894863516,Washington_Pend Oreille
1,disc_screen1,0.85,8.5,0,disc_screen1,1895.2477371447235,64.82247372126797,648.2247372126797,Washington_Pend Oreille
2,disc_screen2,0.85,5.5,0,disc_screen2,1190.4771738569248,64.82247372126797,419.4395358434986,Washington_Pend Oreille
3,glass_breaker,0.85,30.0,0,glass_breaker,1395.2020663994247,64.82247372126797,2287.852013691811,Washington_Pend Oreille
4,nir_hdpe,0.85,13.0,0,nir_hdpe,302.832599471729,64.82247372126797,991.4025392664513,Washington_Pend Oreille
5,nir_pet,0.85,40.0,0,nir_pet,384.4447548812653,64.82247372126797,3050.4693515890813,Washington_Pend Oreille
